Time [ms];X;Y;Z;W;P;R;J1;J2;J3;J4;J5;J6;
 0; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 8; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 16; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 24; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 32; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 40; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 48; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 56; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 64; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 72; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 80; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 88; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 96; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 104; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 120; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 128; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 136; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 144; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 152; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 160; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 168; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 176; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 184; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 192; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 200; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 208; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 216; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 224; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 232; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 248; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 256; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 264; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 272; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 280; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 288; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 296; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 304; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 312; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 320; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 328; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 336; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 344; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 352; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 360; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 376; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 384; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 392; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 400; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 408; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 416; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 424; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
 432; 1080.716; .026; 869.274; 179.999; -44.998; .003; .001; .000; -.000; -.000; -45.001; .001;
